bckoff/ id user _txt,bckoff/ date,structure/ id method,bp/ title _txt,bp/ description _txt,bp/ keywords _txt,display/ archive _boolean,bp/ source _txt,structure/ id step _txt
p8CmevxyTA6dOuNnm-CDuQ,18/05/2022 19:16:47,fe832c8c-2920-4299-abd8-225eb5237a26,"When leverage ""personal selling""?","If (and/or):
- strong ARPA
- limited nb of prospects
- early lifecycle 
- complicated product (evangelisation required) 
",5,false,,
p8CmevxyTA6dOuNnm-CDuQ,18/05/2022 23:41:57,c444555666b,Think of living Red Ocean ,"When 
- no large virgin market anymore (end of hyper growth in the lifecycle)
- and no ability to master key success factors (#1 = go to market) ",1,,,
p8CmevxyTA6dOuNnm-CDuQ,18/05/2022 23:46:37,d777888999e,Alliance without equity: will have an end sooner or mater. Key questions are When & How,,2,,,
3cdOyu6bQ-K6zOMYqjuGMw,18/05/2022 23:48:37,a123456789z,"Easy to swallow, tough to digest",Anticipate post-merger integration as of m&a,9,,,
3cdOyu6bQ-K6zOMYqjuGMw,19/05/2022 0:06:50,4d098c32-2903-43de-a25c-61c9e9672eaa,"""I have no ideas..."". 
OK, but do you have pains - unsolved needs? ",Article for aspiring Entrepreneurs who (think that they) don't have ideas,1,,https://www.sourcinno.com/blog,
3cdOyu6bQ-K6zOMYqjuGMw,19/05/2022 0:09:30,fe832c8c-2920-4299-abd8-225eb5237a26,Focus on moments that matters ,"Studies show that there are some key moments that the prospect/client will not forget (""waow effect""). Ex: understanding (maybe helping her/him to understand) the root cause of her/his request (pro, perso); a criteria summary (not biased....) to help her/him choose among solutions; the demo....
Most energy should be put on these moments.",2,,,
3cdOyu6bQ-K6zOMYqjuGMw,19/05/2022 0:09:50,fe832c8c-2920-4299-abd8-225eb5237a26,A good sales person is before all a good listener,,6,,,
r6CvZ-VKQyKhEjER7PFK9A,19/05/2022 0:11:30,fe832c8c-2920-4299-abd8-225eb5237a26,"Complex sales is 50% consulting, 50% sales",,sales philosophy,,,
r6CvZ-VKQyKhEjER7PFK9A,19/05/2022 0:12:10,fe832c8c-2920-4299-abd8-225eb5237a26,Selling is not a matter of star: it is a team process,,6,,,
r6CvZ-VKQyKhEjER7PFK9A,19/05/2022 18:46:58,fe832c8c-2920-4299-abd8-225eb5237a26,Hire an SDR/BDR/AE,"1. Native approach
- Pitch us your passion
- Explain us your sales approach for this pitch

2. Adaptability 
- This is the approach we use (that we may enrich with your experience)
- Repitch your passion",6,,,
r6CvZ-VKQyKhEjER7PFK9A,19/05/2022 19:01:33,fe832c8c-2920-4299-abd8-225eb5237a26,"""Queues de budget""","Around october-november, clients must ""clean"" their budget before starting the new budget period.
An opportunity to contact them",2,,,
r6CvZ-VKQyKhEjER7PFK9A,19/05/2022 19:02:53,fe832c8c-2920-4299-abd8-225eb5237a26,What moves a sales team,"- Sincere interest in value proposition
- Curiosity
- Challenge
- Extramiles
...
- Bonus",6,,,
FcB0PWK7TaWqF7qOKRuJEg,19/05/2022 19:07:03,fe832c8c-2920-4299-abd8-225eb5237a26,Logo acquisition,"According to target personae, can be good to subsidize the signature of 1st renowned clients to convince others",2,,,
