User need _txt,prio Prompt Technique _nb,Prompt Technique _txt,Prompt description _txt,Prompt guideline _txt,Examples uses _txt
Information Discovery,1,Contextual Inquiry,"Gathering detailed, context-specific information.",Focus on the user's environment and context; ask targeted questions to extract specific information; emphasize understanding user behaviors and needs.,"- Sales: Customer needs assessment, Competitor product analysis, Sales territory research.<br>- Marketing: Consumer behavior analysis, Market trend identification, Customer journey mapping.<br>- HR: Employee satisfaction surveys, Workplace environment studies, Job role analysis.<br>- Finance: Market risk assessment, Investment opportunity analysis, Financial regulation research."
Conceptual Understanding,1,Socratic Method,Cooperative dialogue to explore concepts and challenge assumptions.,Use probing questions; encourage exploration of different perspectives; aim for deeper understanding rather than immediate answers.,"- Sales: Exploring customer objections, Sales strategy refinement, Understanding client needs.<br>- Marketing: Brand message development, Marketing strategy brainstorming, Customer persona creation.<br>- HR: Conducting exit interviews, Employee development discussions, Leadership training.<br>- Finance: Analyzing financial models, Investment strategy discussions, Fiscal policy interpretation."
Conceptual Understanding,,Chain of Thought,"Logical, step-by-step reasoning to reach a conclusion.",Present problems clearly; walk through each step of reasoning or analysis; ensure conclusions follow logically from given information.,"- Sales: Sales process optimization, Lead qualification strategy, Pricing model analysis.<br>- Marketing: Campaign effectiveness analysis, Customer segmentation strategy, Marketing ROI calculation.<br>- HR: Problem-solving in employee relations, Developing training programs, Performance review analysis.<br>- Finance: Budgeting process, Financial forecasting, Cash flow analysis."
Data and Document Analysis,1,Data-Driven Analysis,Extracting insights from data sets.,Utilize data effectively; focus on quantitative analysis; draw logical conclusions based on data trends and patterns.,"- Sales: Sales performance analytics, Customer data analysis, Sales forecasting.<br>- Marketing: Market research data analysis, Customer analytics, Digital marketing performance metrics.<br>- HR: Workforce analytics, Employee performance data, HR metrics and KPIs analysis.<br>- Finance: Financial statement analysis, Investment portfolio analysis, Market trends and economic indicators review."
Data and Document Analysis,,Comparative Analysis,Comparing different elements to aid decision-making.,Identify key comparison points; ensure fair and balanced comparison; highlight contrasts and similarities clearly.,"- Sales: Competitor sales strategy comparison, Product feature comparison, Pricing strategies analysis.<br>- Marketing: Competitor marketing tactics comparison, Ad A/B testing, Social media strategy comparison.<br>- HR: Benefits package comparison, Employee turnover rates comparison, Competency models comparison.<br>- Finance: Competitor financial health comparison, Investment alternatives comparison, Budget variance analysis."
Content Creation and Structuring,1,Structured Outlining,Creating detailed plans or outlines.,Organize information logically; include specific sections and subpoints; provide a clear structure to guide understanding or action.,"- Sales: Sales strategy development, Account planning, Sales training curriculum design.<br>- Marketing: Marketing campaign planning, Content calendar creation, Digital marketing strategy outline.<br>- HR: HR policy development, Employee handbook structuring, Organizational structure planning.<br>- Finance: Financial planning, Audit report structuring, Investment policy outline."
Content Creation and Structuring,,Instructional Guide,Providing step-by-step instructions or guides.,Be clear and concise; ensure steps are logical and easy to follow; include necessary details for implementation.,"- Sales: Sales process training, CRM tool usage guide, Negotiation techniques guide.<br>- Marketing: Social media marketing guide, SEO tactics instructions, Branding guidelines.<br>- HR: Recruitment process guide, Performance appraisal process instructions, Compliance training.<br>- Finance: Financial reporting process guide, Tax filing instructions, Risk management procedures."
Creative and Strategic Thinking,1,Creative Prompting,Encouraging imaginative and original ideas.,Use open-ended and evocative prompts; stimulate creative thinking; avoid constraining responses with too many guidelines.,"- Sales: Generating new sales approaches, Creative deal structuring, Brainstorming upselling strategies.<br>- Marketing: Developing creative campaign ideas, Brand storytelling, Innovative content strategies.<br>- HR: Designing employee engagement initiatives, Creating unique onboarding experiences, Developing diversity and inclusion programs.<br>- Finance: Identifying non-traditional investment opportunities, Creative cost-cutting solutions, Innovative financial product development."
Creative and Strategic Thinking,,Goal-Oriented Guidance,Focusing on achieving specific objectives.,Define clear goals; outline steps to achieve these goals; provide practical advice and strategies.,"- Sales: Setting sales targets, Developing customer retention strategies, Enhancing sales team performance.<br>- Marketing: Goal setting for brand awareness, Target audience engagement strategies, Marketing funnel optimization.<br>- HR: Employee goal setting, Career development paths, Succession planning.<br>- Finance: Financial goal setting, Cost reduction strategies, Revenue growth planning."
Creative and Strategic Thinking,,Problem-Solution Mapping,Identifying problems and mapping out potential solutions.,Clearly define the problem; explore multiple solution options; evaluate solutions based on effectiveness and feasibility.,"- Sales: Addressing sales challenges, Solving customer pain points, Overcoming market entry barriers.<br>- Marketing: Resolving campaign challenges, Tackling market penetration issues, Addressing brand reputation problems.<br>- HR: Solving employee retention issues, Addressing skill gaps, Conflict resolution strategies.<br>- Finance: Managing financial risks, Solving liquidity issues, Tackling budget constraints."
