🔒 id category _txt,emoji,title _txt,description _txt,rank _nb
6I9QdVmyTKGrtFhU1AlHmw,📄,Document,"CHECKLIST, SLIDES, CONTRACT, RESEARCH PAPERS, SPREADSHEET, DOCUMENT ANALYSIS, CONTRACTS, NOTE-TAKING, WHITEPAPERS, REPORTS, INVOICE, HANDWRITING RECOGNITION, PDF, OCR, PRESENTATIONS, SUBTITLING, INVOICES, PATTERN RECOGNITION, RECOGNITION, NOTEBOOK, OPTICAL CHARACTER RECOGNITION, FILE, RADIOLOGY, SLIDES, CV, TEMPLATES, DOCUMENT, TRANSLATION, PRESENTATION, CURRICULUM VITAE, RECEIPT, PAPER, RESIGNATION, RESUME, RESUMES, HANDWRITING RECOGNITION",2
b41osJsRQuKyj6AaasfyUw,♾️,Home & Other,"SMART HOME, FOOD, TRAVEL, EDUCATION, TRAVELING, ANIMAL, GREETINGS, BATTERY, AUTONOMOUS, ATS",13
jBCvOBf7TliUW65EnNFfTw,🧊,3D & Games,"ANIME, ANIMATION, VR180, VR, GAME DEVELOPMENT, 3D MODELING, GAME TESTING, MULTIFACETED, 3D MODELS, GAME DESIGN, AR, RENDERING, MULTIPLAYER, GAME BALANCING, DESIGN 3D, AI DRIVEN NPC, VR180, PROCEDURAL CONTENT GENERATION, METAVERSE, AI DRIVEN ANIMATION, TEXTURES, AI IN MOVIES, COLOR GRADING, AV/AR, VIRTUAL REALITY, GAME AI, 3D, GAMING, 3D PRINTING, AV, AUGMENTED REALITY, GAMES, DESIGN, AI IN TELEVISION, SKETCH, GAME",7
72Dtxgc8S4an2t42DSPujw,✒️,Text writing,"BLOGGING, ARTICLE, CORRECTION, SPELL CHECK, POST, SHORT-FORM, ADVERTISING, TOPIC SUGGESTION, EBOOK, SENTIMENT, STORY, DOCUMENTATION, STYLE SUGGESTIONS, COPYWRITING, TEXT, REWRITING, GRAMMAR CHECK, SOCIAL MEDIA CAPTION, SUMMARY, PARAPHRASING, SERMON, SYNONYMS, KEYWORD, WRITING, NOTE-TAKING, LAW, WORD, SUMMARIZATION, WRITER'S BLOCK, EMAIL, TEXT-TO-CODE, BLOG, BOOK, CONTENT, TRANSLATION, STORYTELLER, STORY WRITING, PARAPHRASER, PLAGIARISM, TWITTER, LINKEDIN, FACEBOOK, SOCIAL MEDIA, WRITING RESOURCES, SALES, MARKETING, PRODUCT DESCRIPTION, PRODUCT SHEET, SENTENCE CORRECTION, SEO, SEOCOPY, SUMMARIZER, ESSAY, LEGAL, MULTI LANGUAGE, NOVEL, PROOFREADING, REPHRASELY",1
4MXI89K4TEKgUDHUm5jl7A,🖼️,Image,"ART, FILTER, COLOR, ADVERTISING, COLORING, ALBUM, STOCK, COLOR GRADING, CROP, FACE, DEEPFAKE, STYLE TRANSFER, ERASE, DRAWING, CARICATURES, TEXT TO IMAGE, WATERMARK, VECTOR, COLORIZER, REMOVAL, BACKGROUND REMOVAL, FIGMA, IMAGE, IMAGE EDITING, BACKGROUND, COLORIZE, SOCIAL MEDIA, ERASER, FASHION, ILLUSTRATION, IMAGE CREATION, IMAGE OBJECT REMOVAL, IMAGE SYNTHESIS, INK, PAINTING, PHOTO, PHOTOGRAPHY, PICTURE, RESIZING, SKETCH",4
6eaXoCNsT-CRV2Md8T7yQw,🎬,Video,"BIGMP4, WEBCAST, DEEPFAKE, DRONE FOOTAGE, VIDEO SUMMARY, TIKTOK, REAL-TIME, VLOG, SHORT VIDEO, ZOOM, TUTORIAL, YOUTUBE SHORTS, VIDEO STABILIZATION, VIDEO CONFERENCING, YOUTUBE, VIDEO EDITING, VIDEO CREATION, VIDEO, VIDEO SYNTHESIS, YOUTUBE THUMBNAILS, VIDEO MODIFICATION",6
94yOZgPSTsOyaXhFP8osTQ,🎵,Audio,"AMBIENT, TEXT-TO-SPEECH, SPEECH-TO-TEXT, RADIO, AUDIOBOOK, SPEECH TO TEXT, AUDIO EDITING, TTS, VOCAL, MUSIC, AUDIO, VOCAL ASSISTANT, VOICE, MUSIC GENERATION, PODCAST, NOISE REDUCTION, VOICE ASSISTANTS, SOUND, TEXT TO SPEECH, SPEECH, VOICE ACTING, VOICE COMMANDS, VOICE SIMULATION, VOICE SURVEYS, VOICE TO IMAGE, VOICE TRANSLATION, AUDIO TRANSCRIPTION, VOICE RECOGNITION, VOICE MODULATION, VOICE-BASED, VOICE-CONTROL, VOICE CHANGING",5
2FweCAjeSVK4KSTVuk1STA,📱,IT automation,"AUTOREGEX, CODE GENERATION, CRON, CONTAINERS, WORKFLOW INTEGRATION, SERVERLESS, TESTING, INFRASTRUCTURE, GIT, VIRTUALIZATION, CLOUD, START-UP, SCRIPTING, JAVASCRIPT, AI APPLICATIONS, NO CODE, FORMULA, TASK, API, GENERATIVE AI, ROBOTIC PROCESS AUTOMATION, SQL, FIGMA, WORKFLOW AUTOMATION, CODE, TEXT-TO-CODE, WORDPRESS, IT AUTOMATION, PLUGIN, WEB APPS, PYTHON, JAVA, HTML, AUTOMATION, PHP, AI2SQL",8
Vh6C7vVHRX2HVQIRBkLrBw,📊,Data analysis,"ANALYTICS, BUSINESS INTELLIGENCE, CSV, DATA MINING, PREDICTIVE MODELING, SQL, INFORMATION GATHERING, PIVOT TABLES, REPORT, STATISTICS, MACHINE LEARNING, PREDICTIVE, SEMANTIC, ANOMALY DETECTION, GRAPH, DATA VISUALIZATION, STRUCTURE, BIG DATA, STATISTIC, DATA INSIGHTS, SPREADSHEET ANALYSIS, PATTERN RECOGNITION, TREND, OPINION MINING, SURVEY, TABLE, CALCULATION, DATA ANALYSIS, TWITTER, LINKEDIN, FACEBOOK, SENTIMENT, SOCIAL MEDIA, , , ",3
bjj357awS2epXWIu-aoe0Q,⏱️,Productivity,"COLLABORATION, ENGAGEMENT, TIMETRACKING, CALENDAR, PLANNING, REMINDER, TASK MANAGEMENT, EMAIL, SURVEY, ACCOUNTING, PROJECT MANAGEMENT, SPRINT, EFFICIENT, ORGANIZATION, GOAL SETTING, EXPENSES TRACKING, LEAD, TIME TRACKING, COLLABORATIVE, TIME MANAGEMENT, SCHEDULING, PRODUCTIVITY, LEADS, MARKET, MARKETING, MEETING, MEETING BOOKING, MEMOS, NOTE TAKING, ORGANIZING, RECRUITING, RECRUITMENT, TEAM MANAGEMENT",10
