bckoff/ macroFunction _txt,bckoff/ Function _txt,bckoff/ deliverable _txt,ai/ (TP) prompt model
HR,Recruitment,Strategy for recruitment,"Standard AI request to be completed. 
👉 Use simple words | The same word for a given concept | Don't misspell | Comply with bullet points
👉 Once the request is ready, delete all comments between [bracket] and this introduction.
---------------------------------

You role: in the macro function ""[*A*]"", you are an expert in function ""[*B*]"".

My context: in this function, I am in charge of the activity ""Strategy for recruitment"". I need to analyse the table [XXX] which is about [✏️ describe the table].
The table's columns are:
- Column 1 title: [✏️ enter understandable title for the column]
- Column 2 title:[✏️ enter understandable title for  the column] 
- Column 3 title: [✏️ enter understandable title for  the column]
- Column 4 title: [✏️ enter understandable title for  the column]
- Column 5 title: [✏️ enter understandable title for the column]
- Column 6 title: [✏️ enter an understandable title for the column]

Your instructions: on the basis of this table [XXX]
[✏️ modify, add or delete some instructions]
- Extract key conclusions about [✏️ enter your topic],
- Define relevant KPI for my activity"
,,,"Standard AI request to be completed. 
👉 Use simple words | The same word for a given concept | Don't misspell | Comply with bullet points
👉 Once the request is ready, delete all comments between [bracket] and this introduction.
---------------------------------

You role: in the macro function ""[*A*]"", you are an expert in function ""[*B*]"".

My context: in this function, I am in charge of the activity """". I need to analyse the table [XXX] which is about [✏️ describe the table].
The table's columns are:
- Column 1 title: [✏️ enter understandable title for the column]
- Column 2 title:[✏️ enter understandable title for  the column] 
- Column 3 title: [✏️ enter understandable title for  the column]
- Column 4 title: [✏️ enter understandable title for  the column]
- Column 5 title: [✏️ enter understandable title for the column]
- Column 6 title: [✏️ enter an understandable title for the column]

Your instructions: on the basis of this table [XXX]
[✏️ modify, add or delete some instructions]
- Extract key conclusions about [✏️ enter your topic],
- Define relevant KPI for my activity"
,,,"Standard AI request to be completed. 
👉 Use simple words | The same word for a given concept | Don't misspell | Comply with bullet points
👉 Once the request is ready, delete all comments between [bracket] and this introduction.
---------------------------------

You role: in the macro function ""[*A*]"", you are an expert in function ""[*B*]"".

My context: in this function, I am in charge of the activity """". I need to analyse the table [XXX] which is about [✏️ describe the table].
The table's columns are:
- Column 1 title: [✏️ enter understandable title for the column]
- Column 2 title:[✏️ enter understandable title for  the column] 
- Column 3 title: [✏️ enter understandable title for  the column]
- Column 4 title: [✏️ enter understandable title for  the column]
- Column 5 title: [✏️ enter understandable title for the column]
- Column 6 title: [✏️ enter an understandable title for the column]

Your instructions: on the basis of this table [XXX]
[✏️ modify, add or delete some instructions]
- Extract key conclusions about [✏️ enter your topic],
- Define relevant KPI for my activity"
,,,"Standard AI request to be completed. 
👉 Use simple words | The same word for a given concept | Don't misspell | Comply with bullet points
👉 Once the request is ready, delete all comments between [bracket] and this introduction.
---------------------------------

You role: in the macro function ""[*A*]"", you are an expert in function ""[*B*]"".

My context: in this function, I am in charge of the activity """". I need to analyse the table [XXX] which is about [✏️ describe the table].
The table's columns are:
- Column 1 title: [✏️ enter understandable title for the column]
- Column 2 title:[✏️ enter understandable title for  the column] 
- Column 3 title: [✏️ enter understandable title for  the column]
- Column 4 title: [✏️ enter understandable title for  the column]
- Column 5 title: [✏️ enter understandable title for the column]
- Column 6 title: [✏️ enter an understandable title for the column]

Your instructions: on the basis of this table [XXX]
[✏️ modify, add or delete some instructions]
- Extract key conclusions about [✏️ enter your topic],
- Define relevant KPI for my activity"
,,,"Standard AI request to be completed. 
👉 Use simple words | The same word for a given concept | Don't misspell | Comply with bullet points
👉 Once the request is ready, delete all comments between [bracket] and this introduction.
---------------------------------

You role: in the macro function ""[*A*]"", you are an expert in function ""[*B*]"".

My context: in this function, I am in charge of the activity """". I need to analyse the table [XXX] which is about [✏️ describe the table].
The table's columns are:
- Column 1 title: [✏️ enter understandable title for the column]
- Column 2 title:[✏️ enter understandable title for  the column] 
- Column 3 title: [✏️ enter understandable title for  the column]
- Column 4 title: [✏️ enter understandable title for  the column]
- Column 5 title: [✏️ enter understandable title for the column]
- Column 6 title: [✏️ enter an understandable title for the column]

Your instructions: on the basis of this table [XXX]
[✏️ modify, add or delete some instructions]
- Extract key conclusions about [✏️ enter your topic],
- Define relevant KPI for my activity"
,,,"Standard AI request to be completed. 
👉 Use simple words | The same word for a given concept | Don't misspell | Comply with bullet points
👉 Once the request is ready, delete all comments between [bracket] and this introduction.
---------------------------------

You role: in the macro function ""[*A*]"", you are an expert in function ""[*B*]"".

My context: in this function, I am in charge of the activity """". I need to analyse the table [XXX] which is about [✏️ describe the table].
The table's columns are:
- Column 1 title: [✏️ enter understandable title for the column]
- Column 2 title:[✏️ enter understandable title for  the column] 
- Column 3 title: [✏️ enter understandable title for  the column]
- Column 4 title: [✏️ enter understandable title for  the column]
- Column 5 title: [✏️ enter understandable title for the column]
- Column 6 title: [✏️ enter an understandable title for the column]

Your instructions: on the basis of this table [XXX]
[✏️ modify, add or delete some instructions]
- Extract key conclusions about [✏️ enter your topic],
- Define relevant KPI for my activity"
,,,"Standard AI request to be completed. 
👉 Use simple words | The same word for a given concept | Don't misspell | Comply with bullet points
👉 Once the request is ready, delete all comments between [bracket] and this introduction.
---------------------------------

You role: in the macro function ""[*A*]"", you are an expert in function ""[*B*]"".

My context: in this function, I am in charge of the activity """". I need to analyse the table [XXX] which is about [✏️ describe the table].
The table's columns are:
- Column 1 title: [✏️ enter understandable title for the column]
- Column 2 title:[✏️ enter understandable title for  the column] 
- Column 3 title: [✏️ enter understandable title for  the column]
- Column 4 title: [✏️ enter understandable title for  the column]
- Column 5 title: [✏️ enter understandable title for the column]
- Column 6 title: [✏️ enter an understandable title for the column]

Your instructions: on the basis of this table [XXX]
[✏️ modify, add or delete some instructions]
- Extract key conclusions about [✏️ enter your topic],
- Define relevant KPI for my activity"
,,,"Standard AI request to be completed. 
👉 Use simple words | The same word for a given concept | Don't misspell | Comply with bullet points
👉 Once the request is ready, delete all comments between [bracket] and this introduction.
---------------------------------

You role: in the macro function ""[*A*]"", you are an expert in function ""[*B*]"".

My context: in this function, I am in charge of the activity """". I need to analyse the table [XXX] which is about [✏️ describe the table].
The table's columns are:
- Column 1 title: [✏️ enter understandable title for the column]
- Column 2 title:[✏️ enter understandable title for  the column] 
- Column 3 title: [✏️ enter understandable title for  the column]
- Column 4 title: [✏️ enter understandable title for  the column]
- Column 5 title: [✏️ enter understandable title for the column]
- Column 6 title: [✏️ enter an understandable title for the column]

Your instructions: on the basis of this table [XXX]
[✏️ modify, add or delete some instructions]
- Extract key conclusions about [✏️ enter your topic],
- Define relevant KPI for my activity"
,,,"Standard AI request to be completed. 
👉 Use simple words | The same word for a given concept | Don't misspell | Comply with bullet points
👉 Once the request is ready, delete all comments between [bracket] and this introduction.
---------------------------------

You role: in the macro function ""[*A*]"", you are an expert in function ""[*B*]"".

My context: in this function, I am in charge of the activity """". I need to analyse the table [XXX] which is about [✏️ describe the table].
The table's columns are:
- Column 1 title: [✏️ enter understandable title for the column]
- Column 2 title:[✏️ enter understandable title for  the column] 
- Column 3 title: [✏️ enter understandable title for  the column]
- Column 4 title: [✏️ enter understandable title for  the column]
- Column 5 title: [✏️ enter understandable title for the column]
- Column 6 title: [✏️ enter an understandable title for the column]

Your instructions: on the basis of this table [XXX]
[✏️ modify, add or delete some instructions]
- Extract key conclusions about [✏️ enter your topic],
- Define relevant KPI for my activity"
,,,"Standard AI request to be completed. 
👉 Use simple words | The same word for a given concept | Don't misspell | Comply with bullet points
👉 Once the request is ready, delete all comments between [bracket] and this introduction.
---------------------------------

You role: in the macro function ""[*A*]"", you are an expert in function ""[*B*]"".

My context: in this function, I am in charge of the activity """". I need to analyse the table [XXX] which is about [✏️ describe the table].
The table's columns are:
- Column 1 title: [✏️ enter understandable title for the column]
- Column 2 title:[✏️ enter understandable title for  the column] 
- Column 3 title: [✏️ enter understandable title for  the column]
- Column 4 title: [✏️ enter understandable title for  the column]
- Column 5 title: [✏️ enter understandable title for the column]
- Column 6 title: [✏️ enter an understandable title for the column]

Your instructions: on the basis of this table [XXX]
[✏️ modify, add or delete some instructions]
- Extract key conclusions about [✏️ enter your topic],
- Define relevant KPI for my activity"
